n_wpp_questions,wpp_to_faq_annotation,ratio_question,ratio_value,partial_ratio_question,partial_ratio_value,token_sort_ratio_question,token_sort_ratio_value,token_set_ratio_question,token_set_ratio_value,token_ratio_question,token_ratio_value,partial_token_sort_ratio_question,partial_token_sort_ratio_value,partial_token_set_ratio_question,partial_token_set_ratio_value,partial_token_ratio_question,partial_token_ratio_value,WRatio_question,WRatio_value,QRatio_question,QRatio_value
1,57; 56,"[58, 84, 59]","[44.58, 44.44, 44.32]","[18, 57, 17]","[100.0, 71.43, 70.0]","[79, 25, 68]","[50.23, 49.12, 44.92]","[61, 58, 29]","[66.67, 62.3, 59.26]","[61, 58, 29]","[66.67, 62.3, 59.26]","[18, 29, 36]","[100.0, 73.68, 72.73]","[1, 3, 4]","[100.0, 100.0, 100.0]","[1, 3, 4]","[100.0, 100.0, 100.0]","[1, 3, 4]","[85.5, 85.5, 85.5]","[58, 84, 59]","[44.58, 44.44, 44.32]"
2,109; 110,"[90, 79, 87]","[40.17, 39.2, 38.74]","[110, 102, 18]","[78.26, 66.67, 60.0]","[79, 87, 109]","[44.8, 44.27, 41.9]","[110, 109, 79]","[100.0, 57.14, 44.64]","[110, 109, 79]","[100.0, 57.14, 44.8]","[102, 110, 107]","[66.67, 65.22, 61.54]","[79, 87, 91]","[100.0, 100.0, 100.0]","[79, 87, 91]","[100.0, 100.0, 100.0]","[79, 87, 91]","[85.5, 85.5, 85.5]","[90, 79, 87]","[40.17, 39.2, 38.74]"
3,109; 110,"[94, 93, 99]","[51.85, 50.0, 48.1]","[102, 97, 103]","[66.67, 60.0, 53.33]","[110, 93, 109]","[56.6, 50.0, 47.06]","[110, 65, 91]","[56.6, 50.0, 50.0]","[110, 65, 91]","[56.6, 50.0, 50.0]","[102, 110, 93]","[66.67, 64.86, 54.24]","[65, 79, 80]","[100.0, 100.0, 100.0]","[65, 79, 80]","[100.0, 100.0, 100.0]","[79, 80, 87]","[85.5, 85.5, 85.5]","[94, 93, 99]","[51.85, 50.0, 48.1]"
4,109; 110,"[87, 19, 66]","[42.36, 42.05, 42.04]","[102, 110, 107]","[66.67, 65.22, 61.54]","[109, 98, 87]","[46.25, 43.75, 43.35]","[110, 109, 87]","[72.22, 49.67, 46.94]","[110, 109, 87]","[72.22, 49.67, 46.94]","[110, 107, 102]","[65.22, 61.54, 54.55]","[66, 87, 91]","[100.0, 100.0, 100.0]","[66, 87, 91]","[100.0, 100.0, 100.0]","[66, 91, 109]","[85.5, 85.5, 85.5]","[87, 19, 66]","[42.36, 42.05, 42.04]"
7,107,"[19, 79, 90]","[38.6, 38.1, 36.51]","[107, 11, 48]","[100.0, 72.73, 63.64]","[56, 79, 90]","[40.95, 40.8, 40.17]","[107, 11, 104]","[100.0, 70.59, 47.06]","[107, 11, 104]","[100.0, 70.59, 47.06]","[107, 11, 2]","[100.0, 68.18, 57.89]","[2, 4, 5]","[100.0, 100.0, 100.0]","[2, 4, 5]","[100.0, 100.0, 100.0]","[4, 5, 11]","[85.5, 85.5, 85.5]","[19, 79, 90]","[38.6, 38.1, 36.51]"
8,50,"[50, 80, 99]","[50.35, 42.65, 41.43]","[48, 102, 50]","[72.73, 66.67, 63.46]","[50, 54, 49]","[53.15, 46.26, 45.78]","[50, 95, 54]","[59.46, 47.06, 46.26]","[50, 95, 54]","[59.46, 47.06, 46.26]","[48, 50, 80]","[100.0, 63.46, 62.22]","[2, 11, 24]","[100.0, 100.0, 100.0]","[2, 11, 24]","[100.0, 100.0, 100.0]","[2, 11, 24]","[85.5, 85.5, 85.5]","[50, 80, 99]","[50.35, 42.65, 41.43]"
14,67; 69,"[67, 79, 70]","[46.15, 45.93, 45.4]","[48, 71, 93]","[81.82, 79.17, 70.59]","[79, 69, 70]","[51.67, 48.19, 46.63]","[93, 67, 79]","[55.32, 52.63, 51.81]","[93, 67, 79]","[55.32, 52.63, 51.81]","[48, 40, 47]","[72.73, 70.59, 69.57]","[22, 24, 26]","[100.0, 100.0, 100.0]","[22, 24, 26]","[100.0, 100.0, 100.0]","[22, 24, 26]","[85.5, 85.5, 85.5]","[67, 79, 70]","[46.15, 45.93, 45.4]"
16,48,"[91, 93, 95]","[54.1, 50.91, 50.43]","[71, 48, 53]","[79.17, 72.73, 68.85]","[91, 43, 81]","[52.46, 46.43, 45.83]","[48, 71, 43]","[77.78, 76.92, 58.82]","[48, 71, 43]","[77.78, 76.92, 58.82]","[71, 48, 102]","[75.0, 72.73, 66.67]","[2, 24, 42]","[100.0, 100.0, 100.0]","[2, 24, 42]","[100.0, 100.0, 100.0]","[2, 24, 42]","[85.5, 85.5, 85.5]","[91, 93, 95]","[54.1, 50.91, 50.43]"
17,57; 72,"[22, 19, 100]","[45.95, 45.28, 44.29]","[18, 29, 57]","[100.0, 68.42, 66.67]","[22, 27, 20]","[47.3, 47.24, 46.15]","[18, 57, 29]","[100.0, 83.33, 68.97]","[18, 57, 29]","[100.0, 83.33, 68.97]","[18, 57, 17]","[100.0, 71.43, 65.0]","[17, 18, 19]","[100.0, 100.0, 100.0]","[17, 18, 19]","[100.0, 100.0, 100.0]","[17, 23, 24]","[85.5, 85.5, 85.5]","[22, 19, 100]","[45.95, 45.28, 44.29]"
18,44; 46; 48,"[80, 66, 84]","[51.85, 47.89, 43.87]","[48, 46, 71]","[90.91, 65.0, 62.5]","[80, 76, 78]","[48.89, 47.89, 47.8]","[48, 46, 80]","[77.78, 51.85, 48.89]","[48, 46, 80]","[77.78, 51.85, 48.89]","[48, 47, 46]","[80.0, 68.57, 66.67]","[24, 42, 43]","[100.0, 100.0, 100.0]","[24, 42, 43]","[100.0, 100.0, 100.0]","[24, 42, 43]","[85.5, 85.5, 85.5]","[80, 66, 84]","[51.85, 47.89, 43.87]"
20,6; 7; 8,"[63, 82, 25]","[48.32, 47.06, 45.0]","[6, 16, 64]","[100.0, 72.73, 68.75]","[63, 22, 79]","[47.3, 46.62, 46.43]","[16, 11, 7]","[60.0, 58.06, 52.94]","[16, 11, 7]","[60.0, 58.06, 52.94]","[6, 16, 14]","[100.0, 71.43, 65.31]","[6, 7, 10]","[100.0, 100.0, 100.0]","[6, 7, 10]","[100.0, 100.0, 100.0]","[7, 10, 11]","[85.5, 85.5, 85.5]","[63, 82, 25]","[48.32, 47.06, 45.0]"
21,86,"[77, 46, 14]","[47.22, 46.67, 46.15]","[48, 93, 77]","[63.16, 60.38, 58.82]","[77, 47, 86]","[61.11, 53.97, 52.63]","[77, 55, 89]","[61.11, 58.54, 56.79]","[77, 55, 89]","[61.11, 58.54, 56.79]","[77, 48, 93]","[65.57, 63.64, 60.32]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[100.0, 100.0, 100.0]","[2, 11, 48]","[85.5, 85.5, 85.5]","[77, 46, 14]","[47.22, 46.67, 46.15]"
27,102 ; 103,"[79, 87, 90]","[27.64, 27.48, 27.45]","[102, 107, 6]","[100.0, 76.92, 62.5]","[87, 79, 90]","[28.74, 28.13, 25.98]","[102, 107, 104]","[100.0, 76.19, 47.06]","[102, 107, 104]","[100.0, 76.19, 47.06]","[102, 107, 16]","[100.0, 76.92, 71.43]","[4, 16, 24]","[100.0, 100.0, 100.0]","[4, 16, 24]","[100.0, 100.0, 100.0]","[98, 102, 4]","[85.5, 60.0, 57.0]","[79, 87, 90]","[27.64, 27.48, 27.45]"
